gvkey,tic,conm,gsector,ggroup,gind,gsubind,datadate,fyear,prcc_f,ceq,csho,mktcap,pb_ratio
252819,WF,WOORI FINANCIAL GROUP INC,40,4010,401010,40101010,2024-12-31,2024,31.25,23080.83,246.503,7703.21875,0.33374964201893953
061067,CIB,GRUPO CIBEST SA,40,4010,401010,40101010,2024-12-31,2024,31.51,9874.125,113.031,3561.60681,0.3607010048991683
025714,SHG,SHINHAN FINANCIAL GROUP LTD,40,4010,401010,40101010,2024-12-31,2024,32.88,37943.909,498.86,16402.5168,0.4322832631714355
016432,LRCDF,LAURENTIAN BANK OF CANADA,40,4010,401010,40101010,2025-10-31,2025,33.3,2759.749,44.584,1484.6472,0.5379645757639554
030501,KB,KB FINANCIAL GROUP,40,4010,401010,40101010,2024-12-31,2024,56.9,39186.19,373.601,21257.8969,0.5424844033063689
241388,AVAL,GRUPO AVAL ACCIONES VALORES,40,4010,401010,40101010,2024-12-31,2024,2.03,3957.422,1187.174,2409.96322,0.6089730182932221
066235,HOPE,HOPE BANCORP INC,40,4010,401010,40101015,2025-12-31,2025,10.96,2283.268,128.202,1405.09392,0.6153872081595327
063232,OCFC,OCEANFIRST FINANCIAL CORP,40,4010,401010,40101015,2025-12-31,2025,17.95,1662.55,57.391,1030.16845,0.6196315599530842
063590,BKRIY,BANK OF IRELAND GROUP PLC,40,4010,401010,40101010,2024-12-31,2024,9.119,13465.276,1002.662,9143.274778,0.6790261690885504
029282,FLG,FLAGSTAR BANK NA,40,4010,401010,40101015,2025-12-31,2025,12.59,7640.0,415.982,5237.21338,0.6854991335078534
015532,BNPQY,BNP PARIBAS,40,4010,401010,40101010,2025-12-31,2025,47.442,147368.008,2199.57,104351.99994,0.708104841452427
018094,FMBL,FARMERS & MERCHANTS BANK/CA,40,4010,401010,40101015,2025-12-31,2025,8348.98,1415.403,0.1218,1016.905764,0.7184566967852972
015784,SCGLY,SOCIETE GENERALE GROUP,40,4010,401010,40101010,2025-12-31,2025,16.142,82357.856,3788.616,61155.839472,0.7425623060415755
285313,BSBR,BANCO SANTANDER BRASIL  -ADR,40,4010,401010,40101010,2024-12-31,2024,3.91,19319.597,3729.814,14583.57274,0.7548590552898179
019355,SFNC,SIMMONS FIRST NATL CP  -CL A,40,4010,401010,40101015,2025-12-31,2025,18.85,3419.24,144.763,2728.78255,0.7980669827213065
064979,PPBI,PACIFIC PREMIER BANCORP INC,40,4010,401010,40101015,2024-12-31,2024,24.92,2955.743,96.442,2403.33464,0.8131067687549289
017151,WSBC,WESBANCO INC,40,4010,401010,40101015,2025-12-31,2025,33.24,3807.726,96.068,3193.30032,0.8386371078171065
012673,BCS,BARCLAYS PLC,40,4010,401010,40101010,2025-12-31,2025,25.45,104689.487,3466.75,88228.7875,0.8427664518023668
018329,BUSE,FIRST BUSEY CORP,40,4010,401010,40101015,2025-12-31,2025,23.79,2468.982,87.624,2084.57496,0.8443054505865171
115876,PB,PROSPERITY BANCSHARES INC,40,4010,401010,40101015,2025-12-31,2025,69.11,7616.14,93.058,6431.23838,0.8444222900314332
025173,RNST,RENASANT CORP,40,4010,401010,40101015,2025-12-31,2025,35.22,3884.905,94.636,3333.07992,0.8579566089775683
017145,WAFD,WAFD INC,40,4010,401010,40101015,2025-09-30,2025,30.29,2739.575,78.187,2368.28423,0.8644713979358112
105670,BRKL,BROOKLINE BANCORP INC,40,4010,401010,40101015,2024-12-31,2024,11.8,1221.939,89.979,1061.7522,0.8689076950649746
011861,VLY,VALLEY NATIONAL BANCORP,40,4010,401010,40101015,2025-12-31,2025,11.68,7453.353,556.618,6501.29824,0.8722649041310669
016845,FRME,FIRST MERCHANTS CORP,40,4010,401010,40101015,2025-12-31,2025,37.48,2441.542,56.952,2134.56096,0.8742675571421668
065106,OZK,BANK OZK,40,4010,401010,40101015,2025-12-31,2025,46.02,5790.871,110.383,5079.82566,0.8772127129062277
017106,PEBO,PEOPLES BANCORP INC/OH,40,4010,401010,40101015,2025-12-31,2025,30.03,1206.602,35.622,1069.72866,0.886562976026892
074571,BBT,BEACON FINANCIAL CORP,40,4010,401010,40101015,2025-12-31,2025,26.37,2496.061,84.031,2215.89747,0.887757739093716
015617,ING,ING GROEP NV,40,4010,401010,40101010,2024-12-31,2024,15.67,54564.0,3096.274,48518.61358,0.8892055857341837
017195,FFBC,FIRST FINL BANCORP INC/OH,40,4010,401010,40101015,2025-12-31,2025,25.02,2769.216,98.522,2465.02044,0.8901510174720931
011842,ASB,ASSOCIATED BANC-CORP,40,4010,401010,40101015,2025-12-31,2025,25.76,4781.235,165.98,4275.6448,0.8942553126964058
017724,CNOB,CONNECTONE BANCORP INC,40,4010,401010,40101015,2025-12-31,2025,26.22,1462.413,50.272,1318.13184,0.9013403464000935
018049,FNB,F N B CORP/FL,40,4010,401010,40101015,2025-12-31,2025,17.1,6759.0,357.303,6109.8813,0.9039623169107857
041459,FSUN,FIRSTSUN CAP BANCORP,40,4010,401010,40101015,2025-12-31,2025,37.635,1153.356,27.887,1049.527245,0.9099768371604258
150279,PFS,PROVIDENT FINANCIAL SVCS INC,40,4010,401010,40101015,2025-12-31,2025,19.75,2833.212,130.62,2579.745,0.9105372277118691
021633,VBTX,VERITEX HOLDINGS INC,40,4010,401010,40101015,2024-12-31,2024,27.16,1601.069,54.517,1480.68172,0.9248081875297067
030932,NWBI,NORTHWEST BANCSHARES INC,40,4010,401010,40101015,2025-12-31,2025,12.0,1890.424,146.108,1753.296,0.9274617757709381
156953,HTH,HILLTOP HOLDINGS INC,40,4010,401010,40101015,2025-12-31,2025,33.94,2168.401,59.54,2020.7876,0.9319252296969057
033459,OBK,ORIGIN BANCORP,40,4010,401010,40101015,2025-12-31,2025,37.61,1246.685,30.952,1164.10472,0.9337601078059012
026270,STEL,STELLAR BANCORP INC,40,4010,401010,40101015,2025-12-31,2025,30.94,1668.654,50.902,1574.90788,0.9438193178454012
154511,CBC,CENTRAL BANCOMPANY,40,4010,401010,40101015,2024-12-31,2024,674.0,3110.661,4.408,2970.992,0.9550998967743511
015552,DNKEY,DANSKE BANK AS,40,4010,401010,40101010,2024-12-31,2024,14.143,24388.743,1667.635,23585.361805,0.9670593439358478
