ticker,pb,mcap,in_valid_universe
AAOI,12.214924,13727130624,True
AAPL,41.188015,4391886389248,True
ACIW,3.07552,4628651008,True
ACLS,5.3230267,5560837632,True
ACMR,4.208499,6946885632,True
ACN,3.2398252,101214470144,True
ADBE,7.0149302,80493748224,True
ADEA,7.5980625,3546495488,True
ADI,6.1396213,207162982400,True
ADSK,13.1560135,41984118784,True
AEIS,9.871816,14389831680,True
AGYS,7.596493,2489084928,True
AI,2.3574142,1531369472,True
AIIXY,7.615689,7811815936,True
AKAM,3.8741622,18996064256,True
ALAB,43.36276,64828194816,True
ALGM,10.860027,10417281024,True
ALKT,4.527866,1678060672,True
ALRM,2.6048248,2243037440,True
ALTR,,,False
AMAT,20.54327,491175084032,True
AMBA,4.85375,2940923136,True
AMD,13.217755,852351778816,True
AMKR,4.9521675,22454769664,True
AMPL,3.971934,863351360,False
ANET,15.4915495,208933978112,True
ANSS,,,False
AOSL,1.6960148,1357755392,True
APH,14.200528,198633668608,True
APLD,8.458762,13394018304,True
APP,71.40652,168589574144,True
APPF,11.750132,5525300736,True
ARLO,8.980219,1429848192,True
ARM,53.942467,448646479872,True
ARW,1.7484012,11798646784,True
ASAN,12.320818,1713763072,True
ASGN,0.45144588,833931008,False
ASMIY,11.762311,58464804864,True
ASML,1702.5862,738473738240,True
ASX,7.5664763,83830669312,True
ATEN,10.617484,2352180224,True
ATEYY,27.883898,138562633728,True
AUOTY,1.3049917,6173527040,True
AUR,6.115538,12041786368,True
AVGO,21.406673,1876984332288,True
AVPT,5.2535005,2306747136,True
AVT,1.5131013,7493309952,True
AZPN,,,False
BB,7.2755904,5415206912,True
BBAI,2.3808088,1889455488,True
BDC,3.6122239,4635509248,True
BELFB,8.711922,4274919168,True
BESIY,53.121494,28115539968,True
BHE,2.9122083,3193056256,True
BILL,0.8859036,3369357568,True
BL,5.376136,1630773376,True
BLKB,36.45971,1267726080,True
BMI,5.776336,3988062464,True
BMNR,0.8151711,9267015680,True
BRZE,4.0440044,2370333440,True
BSY,7.6467586,9101748224,True
BTDR,5.7752557,4395461120,True
CAJPY,1.1107712,23406927872,True
CALX,3.31268,2421176064,True
CAMT,12.277542,8379634688,True
CCC,1.5678254,2699926528,True
CDNS,16.536636,108503261184,True
CDW,6.5537963,16715260928,True
CFLT,,,False
CGNX,7.538003,11140950016,True
CHKP,4.4899554,12555116544,True
CIEN,21.540682,62281871360,True
CIFR,15.482407,11158861824,True
CLBT,6.1323028,3167885824,True
CLS,21.04878,44153696256,True
CLSK,4.53682,4473970688,True
CNSWF,11.185011,43442634752,True
CNXN,1.9263394,1775913856,True
COHR,7.102297,75867463680,True
COHU,3.9351654,3026534400,True
CRCL,5.8743405,21729396736,True
CRDO,23.114372,48163512320,True
CRM,3.8027802,130188247040,True
CRUS,3.8683755,8208657408,True
CRWD,37.358418,173132070912,True
CRWV,13.430967,65544822784,True
CSCO,9.551649,466862931968,True
CTS,3.3745828,1879126144,True
CTSH,1.5819938,23787169792,True
CVLT,689.533,5176747520,True
CWAN,3.520667,7245803008,True
CXM,2.4449234,1195737856,True
CXT,2.1234212,2631412480,True
CYBR,,,False
DASTY,2.4669414,26279874560,True
DAVA,0.660313,155093376,False
DBD,2.783421,2837104128,True
DCBO,-725.8333,442165792,False
DDOG,20.456816,81614553088,True
DGII,3.8478522,2562995712,True
DGNX,2.0686777,25946398,False
DIOD,2.734147,5166485504,True
DLB,1.8979658,4969238528,True
DOCU,4.658392,8384377856,True
DOX,1.7489564,5915458048,True
DQ,0.23014356,1010932032,True
DSGX,3.7254283,6057484800,True
DT,4.6744895,12075840512,True
DXC,0.5337047,1537331200,True
EGHSF,1.4332787,612222656,False
ENPH,5.943216,6552348672,True
ENTG,6.0450597,24477657088,True
EPAM,1.429516,4857166848,True
ERIC,0.37933162,38757453824,True
ESTC,4.8777285,6226427392,True
EVCM,2.1971204,1566013824,True
EXTR,52.66778,4105124096,True
FFIV,6.233962,21875998720,True
FIG,6.862477,10040316928,True
FIVN,1.8567737,1540467456,True
FJTSY,2.8062012,35389464576,True
FLEX,10.26587,52908638208,True
FN,9.20311,21210847232,True
FORM,10.683258,11311237120,True
FORTY,1.3269776,1839853440,True
FROG,10.595987,9787079680,True
FRSH,2.538314,2563926784,True
FSLR,2.8344245,28000194560,True
FSLY,2.8574653,2794511104,True
FTNT,108.75371,107406254080,True
FUJIY,1.0593262,25179420672,True
FWDI,0.6684196,360702912,False
GDDY,43.83454,10383580160,True
GDS,1.5524187,6714653696,True
GDYN,1.0048865,533116096,False
GEN,5.579478,14675289088,True
GFS,3.85723,45125156864,True
GIB,1.949747,13911774208,True
